,,,SRG Value,COOP Msg,End Value,Total,%Full,Quality
21-0746-2,BGFM5,BIG FALLS,,,,,,
21-2225,DLHM5,DULUTH NWS,,,,,,
21-2561-3,ELYM5,ELY,,,,,,
21-2645-3,ELVM5,EVELETH,,,,,,
21-2842-3,FLDM5,FLOODWOOD,,,,,,
21-3296-3,GDPM5,GRAND PORTAGE,,,,,,
21-3411,GLLM5,GULL LAKE,,,,,,
21-3417-3,GNFM5,GUNFLINT LK,,,,,,
21-3863-6,HLYM5,HOLYOKE,,,,,,
21-4652,FEDM5,FEDERAL DAM,,,,,,
21-4306,KETM5,KETTLE FALLS,,,,,,
21-6211,LEIM5,ORR,,,,,,
21-6612,PKGM5,POKEGAMA DAM,,,,,,
21-7460,SDYM5,SANDY LAKE,,,,,,
21-8280-3,TOFM5,TOFTE,,,,,,
21-8613-3,WALM5,WALES,,,,,,
21-8621-2,WLKM5,WALKER,,,,,,
21-9059-2,WNBM5,WINNIBIGOSHISH LAKE,,,,,,
47-0349-1,AEFW3,ASHLAND  F&P ONLY,,,,,,
47-3511-1,HYRW3,HAYWARD,,,,,,
47-3244,GTBW3,GANTSBURG,,,,,,
47-5352-2,MERW3,MERCER,,,,,,
47-5524-1,MNGW3,MINONG,,,,,,
47-6398-2,PKFW3,PARK FALLS,,,,,,
47-6854-2,PRNW3,PRENTICE,,,,,,
47-8027-1,SPOW3,SPOONER,,,,,,
47-9304-1,WTRW3,WINTER,,,,,,
